Afghanistan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,2.500000,1.351351,2.380952,4.255319,3.636364,3.636364,3.333333,2.352941,2.298851,1.687764,2.197802,2.135231,2.341137,2.005731,2.997275,3.309693,3.153153,3.099174,2.879079,3.243243,2.965404,3.157895,3.221289,3.188776,3.571429,3.311258,3.215434,3.313253,3.508772,3.296703,3.401361,3.283815,3.182828,3.212577,3.265839,3.347035,3.172867,3.094379,2.947950,2.912206,2.916160,3.143491,3.109883
Albania,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.333333,4.347826,3.030303,2.631579,2.380952,1.960784,1.818182,3.389831,3.125000,2.857143,2.631579,2.247191,3.846154,4.065041,3.424658,3.448276,4.301075,5.076142,4.716981,4.932735,6.172840,5.791506,5.776173,5.592105,6.006006,5.540166,5.570292,5.744125,5.500000,5.623472,5.528846,5.311778,5.156951,4.925054,5.052632,5.060729,5.019305,4.823748,4.744526,4.626335,4.452055,4.269294,4.258675,4.072398,3.982301,3.792135,3.856749,3.804348,4.000000,3.916449,4.010349,3.964194,3.929024,3.899371,3.860523
Algeria,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.166667,7.692308,8.108108,8.333333,7.407407,6.666667,9.459459,10.344828,12.222222,10.791367,8.457711,7.391304,7.196970,6.953642,6.811989,6.356968,6.387665,6.066536,5.993151,6.145251,6.847698,8.722110,8.966695,10.391687,11.515152,12.157414,13.147139,13.040712,14.105642,14.537195,15.068493,15.308255,15.784165,15.748792,15.555556,15.343915,15.053763,14.483031,14.263979,14.128035,13.945215,13.814433,13.535085,13.271506,12.868550,12.566529,12.283196,11.975884,11.538462,11.233150,10.905152,10.686845,10.348681,10.004303
Andorra,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.884956,0.751880,0.609756,0.531915,1.339286,1.123596,0.974026,1.796407,2.162162,3.191489,3.589744,3.504673,3.644647,3.648069,3.592814,4.000000,4.036697,4.078014,4.288165,4.326123,4.326123,4.545455,4.489164,4.704097,4.903418,4.903418,5.028736,4.971591,5.049088,5.160391,5.160391,5.117566,5.117566,5.471956,5.420054,5.420054,5.383580,5.518170,5.652759,5.637584,5.771812,5.890228,6.016043,6.000000
Angola,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.571429,28.571429,28.571429,25.000000,25.000000,25.000000,20.000000,14.285714,12.500000,11.764706,10.526316,10.526316,10.526316,10.526316,10.526316,10.526316,10.526316,10.526316,10.526316,10.526316,8.333333,8.333333,8.333333,8.333333,8.000000,8.000000,8.000000,8.000000,7.692308,7.407407,7.407407,7.407407,7.407407,6.666667,5.714286,5.714286,5.714286
Antigua and Barbuda,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.263158,10.526316,10.526316,10.526316,9.523810,9.523810,8.695652,8.695652,8.695652,13.043478,13.043478,13.043478,13.043478,13.043478,13.043478,12.500000,12.500000,12.500000,12.500000,12.500000,12.500000,12.500000,12.500000,12.500000,12.000000,12.000000,12.000000,12.000000
Argentina,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.333333,8.333333,5.882353,5.263158,5.263158,6.451613,5.882353,4.444444,3.571429,2.941176,2.531646,3.092784,2.343750,2.531646,1.503759,1.328904,1.550388,2.067183,1.792829,2.207131,2.608696,2.550336,2.804878,2.561670,2.656546,3.177405,3.083004,2.963473,3.032391,3.088803,3.439803,3.673469,4.011142,4.151899,4.202532,4.201681,4.393116,4.479578,4.543594,4.472968,4.608468,4.677302,4.649524,4.624277,4.849885,4.834606,4.803493,4.879401,4.894180,4.933196,4.921309,5.015750,4.994166,4.923216,4.964695,5.063021,5.143216,5.320237
Armenia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.344828,0.303951,0.245700,0.707547,0.622407,0.563910,0.700525,1.055807,0.951087,0.909091,0.851582,0.960384,0.937866,1.021566,1.085776,1.280683,1.344364,1.283317,1.347449,1.499531,1.530153,1.553063,1.582015,1.602564,1.549187,1.643017,1.713062,1.629328,1.575837,1.691729,1.669648,1.603666,1.603982,1.606856,1.552795,1.548887,1.536313,1.451826,1.466890,1.555644
Australia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.703704,3.333333,2.564103,3.846154,3.636364,3.333333,3.174603,3.947368,3.296703,2.803738,2.343750,2.343750,1.500000,1.200000,1.010101,0.795756,1.106195,1.056338,0.881057,0.884956,0.653595,0.451904,0.416171,0.391389,0.338409,0.462633,0.413618,0.384615,0.401606,0.389819,0.394823,0.411353,0.469116,0.525328,0.540541,0.615439,0.690012,0.763359,0.831947,0.834971,0.868866,0.904331,0.950119,0.960479,0.966485,0.978261,0.974930,1.011960,1.020097,1.013616,1.011626,1.008277,1.007216,1.125788,1.183166,1.195100,1.236223,1.234935,1.319692,1.347749,1.374520,1.372086,1.382556,1.392554,1.402074
Austria,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.331126,0.198413,0.152672,0.116279,0.294695,0.225225,0.243013,0.298063,0.251256,0.284293,0.446678,0.469379,0.530002,0.536865,0.709220,0.757477,0.822150,0.978607,1.122895,1.257367,1.363085,1.419714,1.457827,1.578813,1.692806,1.789054,1.922620,2.109411,2.227424,2.353375,2.440968,2.509860,2.620896,2.699283,2.741350,2.832274,2.953066,3.019562,3.064615,3.176749,3.301284,3.417085,3.479536,3.516688,3.538421,3.559934,3.594343,3.705151,3.765745,3.779446,3.792415,3.830827,3.834071,3.840983
