region,population,area,cases1,deaths1,cases2,deaths2,cases3,deaths3,cases4,deaths4,cases5,deaths5,cases6,deaths6,cases7,deaths7,cases8,deaths8,cases9,deaths9,cases10,deaths10,cases11,deaths11,cases12,deaths12,cases13,deaths13,cases14,deaths14,cases15,deaths15,cases16,deaths16,cases17,deaths17,cases18,deaths18,cases19,deaths19,cases20,deaths20,cases21,deaths21,cases22,deaths22,cases23,deaths23,cases24,deaths24,cases25,deaths25,cases26,deaths26,cases27,deaths27,cases28,deaths28,cases29,deaths29,cases30,deaths30,cases31,deaths31,cases32,deaths32,cases33,deaths33,cases34,deaths34,cases35,deaths35,cases36,deaths36,cases37,deaths37,cases38,deaths38,cases39,deaths39,cases40,deaths40,cases41,deaths41,cases42,deaths42,cases43,deaths43,cases44,deaths44,cases45,deaths45,cases46,deaths46,cases47,deaths47,cases48,deaths48,cases49,deaths49,cases50,deaths50,cases51,deaths51,cases52,deaths52,cases53,deaths53,cases54,deaths54,cases55,deaths55,cases56,deaths56,cases57,deaths57,cases58,deaths58,cases59,deaths59,cases60,deaths60,cases61,deaths61,cases62,deaths62,cases63,deaths63,cases64,deaths64,cases65,deaths65,cases66,deaths66,cases67,deaths67,cases68,deaths68,cases69,deaths69,cases70,deaths70,cases71,deaths71,cases72,deaths72,cases73,deaths73,cases74,deaths74,cases75,deaths75,cases76,deaths76,cases77,deaths77,cases78,deaths78,cases79,deaths79,cases80,deaths80,cases81,deaths81,cases82,deaths82,cases83,deaths83,cases84,deaths84,cases85,deaths85,cases86,deaths86,cases87,deaths87,cases88,deaths88,cases89,deaths89,cases90,deaths90,cases91,deaths91,cases92,deaths92,cases93,deaths93,cases94,deaths94,cases95,deaths95,cases96,deaths96,cases97,deaths97,cases98,deaths98,cases99,deaths99,cases100,deaths100,cases101,deaths101,cases102,deaths102,cases103,deaths103,cases104,deaths104
China,1439323776,9388211,548,17,643,18,920,26,1406,42,2075,56,2877,82,5509,131,6087,133,8141,171,9802,213,11891,259,16630,361,19716,425,23707,491,27440,563,30587,633,34110,718,36814,805,39829,905,42354,1012,44386,1112,44759,1117,59895,1369,66358,1521,68413,1663,70513,1766,72434,1864,74211,2003,74619,2116,75077,2238,75550,2238,77001,2443,77022,2445,77241,2595,77754,2665,78166,2717,78600,2746,78928,2790,79356,2837,79932,2872,80136,2914,80261,2947,80386,2983,80537,3015,80690,3044,80770,3072,80823,3100,80860,3123,80887,3139,80921,3161,80932,3172,80945,3180,80977,3193,81003,3203,81033,3217,81058,3230,81102,3241,81156,3249,81250,3253,81305,3259,81435,3274,81498,3274,81591,3281,81661,3285,81782,3291,81897,3296,81999,3299,82122,3304,82198,3308,82279,3309,82361,3316,82432,3322,82511,3326,82543,3330,82602,3333,82665,3335,82718,3335,82809,3337,82883,3339,82941,3340,83014,3343,83134,3343,83213,3345,83306,3345,83356,3346,83403,3346,83760,4636,83787,4636,83805,4636,83817,4636,83853,4636,83868,4636,83884,4636,83899,4636,83909,4636,83912,4637,83918,4637,83940,4637,83944,4637,83956,4637,83959,4637,83959,4637,83964,4637,83966,4637
Italy,60461826,294140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,20,1,62,2,155,3,229,7,322,10,453,12,655,17,888,21,1128,29,1694,34,2036,52,2502,79,3089,107,3858,148,4636,197,5883,233,7375,366,9172,463,10149,631,12462,827,12462,827,17660,1266,21157,1441,24747,1809,27980,2158,31506,2503,35713,2978,41035,3405,47021,4032,53578,4825,59138,5476,63927,6077,69176,6820,74386,7503,80589,8215,86498,9134,92472,10023,97689,10779,101739,11591,105792,12428,110574,13155,115242,13915,119827,14681,124632,15362,128948,15887,132547,16523,135586,17127,139422,17669,143626,18279,147577,18849,152271,19468,156363,19899,159516,20465,162488,21067,165155,21645,168941,22170,172434,22745,175925,23227,178972,23660,181228,24114,183957,24648,187327,25085,189973,25549,192994,25969,195351,26384,197675,26644,199414,26977,201505,27359,203591,27682,205463,27967,207428,28236,209328,28710,210717,28884,211938,29079
Spain,46754778,498800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,6,0,13,0,15,0,32,0,45,0,84,0,120,0,165,1,222,2,259,3,400,5,500,10,673,17,1073,28,1695,35,2277,54,2277,55,5232,133,6391,195,7798,289,9942,342,11748,533,13910,623,17963,830,20410,1043,25374,1375,28768,1772,35136,2311,39885,2808,49515,3647,57786,4365,65719,5138,73235,5982,80110,6803,87956,7716,95923,8464,104118,9387,112065,10348,119199,11198,126168,11947,131646,12641,136675,13341,141942,14045,148220,14792,153222,15447,158273,16081,163027,16606,166831,17209,170099,17756,172541,18056,177644,18708,184948,19315,190839,20002,191726,20043,198674,20453,200210,20852,204178,21282,208389,21717,213024,22157,202990,22524,205905,22902,207634,23190,209465,23521,210773,23822,212917,24275,213435,24543,213435,24543,216582,25100,217466,25264,218011,25428
US,331002651,9147420,1,0,1,0,2,0,2,0,5,0,5,0,5,0,5,0,5,0,7,0,8,0,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,12,0,12,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,15,0,15,0,15,0,51,0,51,0,57,0,58,0,60,0,68,1,74,1,98,6,118,7,149,11,217,12,262,14,402,17,518,21,583,22,959,28,1281,36,1663,41,2179,49,2727,58,3499,73,4632,99,6421,133,7783,164,13747,258,19273,349,25600,442,33276,586,43843,786,53736,1008,65778,1316,83836,1726,101657,2265,121465,2731,140909,3420,161831,4192,188172,5367,213242,6501,243622,7921,275367,9246,308650,10855,336802,12375,366317,13894,397121,16191,428654,18270,462780,20255,496535,22333,526396,24342,555313,26086,580619,27870,607670,30262,636350,32734,667592,34827,699706,37411,732197,39753,758809,40945,784326,42659,811865,45086,840351,47412,869170,49724,905358,51493,938154,53755,965785,54881,988197,56259,1012582,58355,1039909,60967,1069424,62996,1103461,64943,1132539,66369,1158040,67682,1180375,68922
