China,0.000000,0.000000,0.000001,0.000001,0.000001,0.000002,0.000004,0.000004,0.000006,0.000007,0.000008,0.000012,0.000014,0.000016,0.000019,0.000021,0.000024,0.000026,0.000028,0.000029,0.000031,0.000031,0.000042,0.000046,0.000048,0.000049,0.000050,0.000052,0.000052,0.000052,0.000052,0.000053,0.000054,0.000054,0.000054,0.000054,0.000055,0.000055,0.000055,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000057,0.000057,0.000057,0.000057,0.000057,0.000057,0.000057,0.000057,0.000057,0.000057,0.000057,0.000057,0.000057,0.000057,0.000057,0.000057,0.000057,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000058,0.000000
Italy,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000003,0.000004,0.000005,0.000007,0.000011,0.000015,0.000019,0.000028,0.000034,0.000041,0.000051,0.000064,0.000077,0.000097,0.000122,0.000152,0.000168,0.000206,0.000206,0.000292,0.000350,0.000409,0.000463,0.000521,0.000591,0.000679,0.000778,0.000886,0.000978,0.001057,0.001144,0.001230,0.001333,0.001431,0.001529,0.001616,0.001683,0.001750,0.001829,0.001906,0.001982,0.002061,0.002133,0.002192,0.002243,0.002306,0.002375,0.002441,0.002518,0.002586,0.002638,0.002687,0.002732,0.002794,0.002852,0.002910,0.002960,0.002997,0.003043,0.003098,0.003142,0.003192,0.003231,0.003269,0.003298,0.003333,0.003367,0.003398,0.003431,0.003462,0.003485,0.000000
Spain,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000003,0.000004,0.000005,0.000006,0.000009,0.000011,0.000014,0.000023,0.000036,0.000049,0.000049,0.000112,0.000137,0.000167,0.000213,0.000251,0.000298,0.000384,0.000437,0.000543,0.000615,0.000751,0.000853,0.001059,0.001236,0.001406,0.001566,0.001713,0.001881,0.002052,0.002227,0.002397,0.002549,0.002699,0.002816,0.002923,0.003036,0.003170,0.003277,0.003385,0.003487,0.003568,0.003638,0.003690,0.003799,0.003956,0.004082,0.004101,0.004249,0.004282,0.004367,0.004457,0.004556,0.004342,0.004404,0.004441,0.004480,0.004508,0.004554,0.004565,0.004565,0.004632,0.004651,0.000000
US,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000002,0.000002,0.000003,0.000004,0.000005,0.000007,0.000008,0.000011,0.000014,0.000019,0.000024,0.000042,0.000058,0.000077,0.000101,0.000132,0.000162,0.000199,0.000253,0.000307,0.000367,0.000426,0.000489,0.000568,0.000644,0.000736,0.000832,0.000932,0.001018,0.001107,0.001200,0.001295,0.001398,0.001500,0.001590,0.001678,0.001754,0.001836,0.001922,0.002017,0.002114,0.002212,0.002292,0.002370,0.002453,0.002539,0.002626,0.002735,0.002834,0.002918,0.002985,0.003059,0.003142,0.003231,0.003334,0.003422,0.003499,0.000000
