China,0.000058,0.000068,0.000098,0.000150,0.000221,0.000306,0.000587,0.000648,0.000867,0.001044,0.001267,0.001771,0.002100,0.002525,0.002923,0.003258,0.003633,0.003921,0.004242,0.004511,0.004728,0.004768,0.006380,0.007068,0.007287,0.007511,0.007715,0.007905,0.007948,0.007997,0.008047,0.008202,0.008204,0.008227,0.008282,0.008326,0.008372,0.008407,0.008453,0.008514,0.008536,0.008549,0.008562,0.008579,0.008595,0.008603,0.008609,0.008613,0.008616,0.008619,0.008621,0.008622,0.008625,0.008628,0.008631,0.008634,0.008639,0.008644,0.008654,0.008660,0.008674,0.008681,0.008691,0.008698,0.008711,0.008723,0.008734,0.008747,0.008755,0.008764,0.008773,0.008780,0.008789,0.008792,0.008798,0.008805,0.008811,0.008821,0.008828,0.008835,0.008842,0.008855,0.008864,0.008873,0.008879,0.008884,0.008922,0.008925,0.008927,0.008928,0.008932,0.008933,0.008935,0.008937,0.008938,0.008938,0.008939,0.008941,0.008941,0.008943,0.008943,0.008943,0.008944,0.000000
Italy,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000068,0.000211,0.000527,0.000779,0.001095,0.001540,0.002227,0.003019,0.003835,0.005759,0.006922,0.008506,0.010502,0.013116,0.015761,0.020001,0.025073,0.031182,0.034504,0.042368,0.042368,0.060039,0.071928,0.084133,0.095125,0.107112,0.121415,0.139508,0.159859,0.182151,0.201054,0.217335,0.235181,0.252893,0.273982,0.294071,0.314381,0.332117,0.345886,0.359665,0.375923,0.391793,0.407381,0.423717,0.438390,0.450626,0.460957,0.473999,0.488291,0.501724,0.517682,0.531594,0.542313,0.552417,0.561484,0.574356,0.586231,0.598100,0.608459,0.616128,0.625406,0.636863,0.645859,0.656130,0.664143,0.672044,0.677956,0.685065,0.692157,0.698521,0.705202,0.711661,0.716383,0.000000
Spain,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000012,0.000026,0.000030,0.000064,0.000090,0.000168,0.000241,0.000331,0.000445,0.000519,0.000802,0.001002,0.001349,0.002151,0.003398,0.004565,0.004565,0.010489,0.012813,0.015634,0.019932,0.023553,0.027887,0.036012,0.040918,0.050870,0.057674,0.070441,0.079962,0.099268,0.115850,0.131754,0.146822,0.160605,0.176335,0.192308,0.208737,0.224669,0.238972,0.252943,0.263925,0.274008,0.284567,0.297153,0.307181,0.317308,0.326838,0.334465,0.341016,0.345912,0.356143,0.370786,0.382596,0.384374,0.398304,0.401383,0.409338,0.417781,0.427073,0.406957,0.412801,0.416267,0.419938,0.422560,0.426858,0.427897,0.427897,0.434206,0.435978,0.000000
US,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000002,0.000002,0.000002,0.000006,0.000006,0.000006,0.000006,0.000007,0.000007,0.000008,0.000011,0.000013,0.000016,0.000024,0.000029,0.000044,0.000057,0.000064,0.000105,0.000140,0.000182,0.000238,0.000298,0.000383,0.000506,0.000702,0.000851,0.001503,0.002107,0.002799,0.003638,0.004793,0.005874,0.007191,0.009165,0.011113,0.013279,0.015404,0.017691,0.020571,0.023312,0.026633,0.030103,0.033742,0.036819,0.040046,0.043413,0.046861,0.050591,0.054281,0.057546,0.060707,0.063474,0.066431,0.069566,0.072981,0.076492,0.080044,0.082953,0.085743,0.088753,0.091868,0.095018,0.098974,0.102559,0.105580,0.108030,0.110696,0.113683,0.116910,0.120631,0.123810,0.126597,0.000000
