region,population,area,cases1,deaths1,cases2,deaths2,cases3,deaths3,cases4,deaths4,cases5,deaths5,cases6,deaths6,cases7,deaths7,cases8,deaths8,cases9,deaths9,cases10,deaths10,cases11,deaths11,cases12,deaths12,cases13,deaths13,cases14,deaths14,cases15,deaths15,cases16,deaths16,cases17,deaths17,cases18,deaths18,cases19,deaths19,cases20,deaths20,cases21,deaths21,cases22,deaths22,cases23,deaths23,cases24,deaths24,cases25,deaths25,cases26,deaths26,cases27,deaths27,cases28,deaths28,cases29,deaths29,cases30,deaths30,cases31,deaths31,cases32,deaths32,cases33,deaths33,cases34,deaths34,cases35,deaths35,cases36,deaths36,cases37,deaths37,cases38,deaths38,cases39,deaths39,cases40,deaths40,cases41,deaths41,cases42,deaths42,cases43,deaths43,cases44,deaths44,cases45,deaths45,cases46,deaths46,cases47,deaths47,cases48,deaths48,cases49,deaths49,cases50,deaths50,cases51,deaths51,cases52,deaths52,cases53,deaths53,cases54,deaths54,cases55,deaths55,cases56,deaths56,cases57,deaths57,cases58,deaths58,cases59,deaths59,cases60,deaths60,cases61,deaths61,cases62,deaths62,cases63,deaths63,cases64,deaths64,cases65,deaths65,cases66,deaths66,cases67,deaths67,cases68,deaths68,cases69,deaths69,cases70,deaths70,cases71,deaths71,cases72,deaths72,cases73,deaths73,cases74,deaths74,cases75,deaths75,cases76,deaths76,cases77,deaths77,cases78,deaths78,cases79,deaths79,cases80,deaths80,cases81,deaths81,cases82,deaths82,cases83,deaths83,cases84,deaths84,cases85,deaths85,cases86,deaths86,cases87,deaths87,cases88,deaths88,cases89,deaths89,cases90,deaths90,cases91,deaths91,cases92,deaths92,cases93,deaths93,cases94,deaths94,cases95,deaths95,cases96,deaths96,cases97,deaths97,cases98,deaths98,cases99,deaths99,cases100,deaths100,cases101,deaths101,cases102,deaths102,cases103,deaths103,cases104,deaths104
Belize,397628,22810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,4,0,4,0,5,0,7,1,7,1,8,1,9,1,10,2,13,2,14,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2,18,2
Canada,37742154,9093510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,7275560,230800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,6,0,6,0,8,0,8,0,8,0,9,0,10,0,10,0,10,0,10,0,11,0,12,0,14,0,15,0,16,0,16,0,18,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0
Libya,6871292,1759540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,3,0,8,0,8,0,10,0,10,0,11,1,11,1,18,1,18,1,19,1,20,1,21,1,24,1,24,1,24,1,25,1,26,1,35,1,48,1,49,1,49,1,49,1,51,1,51,1,51,1,59,1,60,2,61,2,61,2,61,2,61,2,61,2,61,2,61,3,63,3,63,3,63,3,63,3
West Bank and Gaza,5101414,6020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,16,0,16,0,19,0,26,0,30,0,30,0,31,0,35,0,38,0,38,0,39,0,41,0,44,0,47,0,48,0,52,0,59,0,59,0,59,0,84,1,91,1,98,1,109,1,116,1,119,1,134,1,161,1,194,1,217,1,237,1,254,1,261,1,263,1,263,1,267,2,268,2,290,2,308,2,308,2,374,2,374,2,402,2,418,2,437,3,449,3,466,4,474,4,480,4,484,4,342,2,342,2,342,2,343,2,344,2,344,2,353,2,353,2,353,2,362,2
Guinea-Bissau,1968001,28120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,8,0,8,0,9,0,9,0,15,0,18,0,18,0,18,0,33,0,33,0,36,0,36,0,38,0,38,0,38,0,38,0,43,0,43,0,43,0,46,0,50,0,50,0,50,0,50,0,50,0,52,0,52,0,53,1,73,1,73,1,205,1,205,1,257,1,257,1,257,1,413,1
Mali,20250833,1220190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,11,0,18,0,18,1,25,2,28,2,31,3,36,3,39,3,41,3,45,5,47,5,56,5,59,7,74,7,87,7,87,7,105,9,123,10,144,13,148,13,171,13,171,13,216,13,224,14,246,14,258,14,293,17,309,21,325,21,370,21,389,23,408,23,424,24,482,25,490,26,508,26,544,26,563,27,580,29
Saint Kitts and Nevis,53199,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,7,0,8,0,8,0,9,0,9,0,9,0,10,0,10,0,11,0,11,0,11,0,12,0,12,0,12,0,12,0,14,0,14,0,14,0,14,0,14,0,14,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
Canada,37742154,9093510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,5,0,5,0,6,0,7,0,8,0,8,0,10,0,10,0,11,0,12,0,12,0,12,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,14,0,14,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0
Kosovo,1831000,10887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,86,1,91,1,94,1,94,1,112,1,125,1,125,1,126,1,135,1,145,1,145,1,170,4,184,5,184,5,250,7,283,7,283,7,283,7,387,8,387,8,449,11,480,12,510,12,561,12,598,15,604,18,630,18,669,19,703,19,731,20,763,21,780,22,790,22,799,22,806,22,806,22,823,22,851,22,855,26
